Rank,English_Meaning,Language_A,Word_A,Language_B,Word_B,Similarity_Score,Pattern_Detected
1363,ignore,es,ignorar,fr,ignorer,0.857,delta: 'a' vs 'e'
1363,ignore,es,ignorar,it,ignorare,0.933,delta: '' vs 'e'
1363,ignore,es,ignorar,ro,ignora,0.923,delta: 'r' vs ''
1363,ignore,fr,ignorer,gl,ignorar,0.857,delta: 'e' vs 'a'
1363,ignore,fr,ignorer,it,ignorare,0.800,delta: 'er' vs 'are'
1363,ignore,fr,ignorer,pt,ignorar,0.857,delta: 'e' vs 'a'
1363,ignore,fr,ignorer,ro,ignora,0.769,delta: 'er' vs 'a'
1363,ignore,gl,ignorar,it,ignorare,0.933,delta: '' vs 'e'
1363,ignore,gl,ignorar,ro,ignora,0.923,delta: 'r' vs ''
1363,ignore,it,ignorare,pt,ignorar,0.933,delta: 'e' vs ''
1363,ignore,it,ignorare,ro,ignora,0.857,delta: 're' vs ''
1363,ignore,pt,ignorar,ro,ignora,0.923,delta: 'r' vs ''
1364,welcome,ca,Benvingut,it,Benvenuto,0.778,delta: 'ingut' vs 'enuto'
1364,welcome,es,bienvenidos,gl,benvido,0.778,delta: 'ienvenidos' vs 'envido'
1364,welcome,fr,Bienvenue,it,Benvenuto,0.778,delta: 'ienvenue' vs 'envenuto'
1366,jump,ca,saltar,es,salto,0.727,delta: 'ar' vs 'o'
1366,jump,ca,saltar,it,salto,0.727,delta: 'ar' vs 'o'
1366,jump,es,salto,gl,saltar,0.727,delta: 'o' vs 'ar'
1366,jump,gl,saltar,it,salto,0.727,delta: 'ar' vs 'o'
1367,planet,en,planet,ca,planeta,0.923,delta: '' vs 'a'
1367,planet,en,planet,es,planeta,0.923,delta: '' vs 'a'
1367,planet,en,planet,fr,planète,0.769,delta: 'et' vs 'ète'
1367,planet,en,planet,gl,planeta,0.923,delta: '' vs 'a'
1367,planet,en,planet,it,pianeta,0.769,delta: 'lanet' vs 'ianeta'
1367,planet,en,planet,pt,planeta,0.923,delta: '' vs 'a'
1367,planet,en,planet,ro,planetă,0.923,delta: '' vs 'ă'
1367,planet,ca,planeta,fr,planète,0.714,delta: 'eta' vs 'ète'
1367,planet,ca,planeta,it,pianeta,0.857,delta: 'l' vs 'i'
1367,planet,ca,planeta,ro,planetă,0.857,delta: 'a' vs 'ă'
1367,planet,es,planeta,fr,planète,0.714,delta: 'eta' vs 'ète'
1367,planet,es,planeta,it,pianeta,0.857,delta: 'l' vs 'i'
1367,planet,es,planeta,ro,planetă,0.857,delta: 'a' vs 'ă'
1367,planet,fr,planète,gl,planeta,0.714,delta: 'ète' vs 'eta'
1367,planet,fr,planète,pt,planeta,0.714,delta: 'ète' vs 'eta'
1367,planet,fr,planète,ro,planetă,0.714,delta: 'ète' vs 'etă'
1367,planet,gl,planeta,it,pianeta,0.857,delta: 'l' vs 'i'
1367,planet,gl,planeta,ro,planetă,0.857,delta: 'a' vs 'ă'
1367,planet,it,pianeta,pt,planeta,0.857,delta: 'i' vs 'l'
1367,planet,it,pianeta,ro,planetă,0.714,delta: 'ianeta' vs 'lanetă'
1367,planet,pt,planeta,ro,planetă,0.857,delta: 'a' vs 'ă'
1368,location,ca,ubicació,es,ubicación,0.941,delta: '' vs 'n'
1369,bird,es,pájaro,pt,pássaro,0.769,delta: 'j' vs 'ss'
1370,amazing,ca,increïble,es,increíble,0.889,delta: 'ï' vs 'í'
1370,amazing,ca,increïble,fr,incroyable,0.737,delta: 'eï' vs 'oya'
1370,amazing,ca,increïble,gl,incrible,0.824,delta: 'eï' vs 'i'
1370,amazing,es,increíble,fr,incroyable,0.737,delta: 'eí' vs 'oya'
1370,amazing,es,increíble,gl,incrible,0.824,delta: 'eí' vs 'i'
1370,amazing,fr,incroyable,gl,incrible,0.778,delta: 'oya' vs 'i'
1371,principle,en,principle,ca,principi,0.824,delta: 'le' vs 'i'
1371,principle,en,principle,es,principio,0.778,delta: 'le' vs 'io'
1371,principle,en,principle,fr,principe,0.941,delta: 'l' vs ''
1371,principle,en,principle,gl,principio,0.778,delta: 'le' vs 'io'
1371,principle,en,principle,it,principio,0.778,delta: 'le' vs 'io'
1371,principle,en,principle,ro,principiu,0.778,delta: 'le' vs 'iu'
1371,principle,ca,principi,es,principio,0.941,delta: '' vs 'o'
1371,principle,ca,principi,fr,principe,0.875,delta: 'i' vs 'e'
1371,principle,ca,principi,gl,principio,0.941,delta: '' vs 'o'
1371,principle,ca,principi,it,principio,0.941,delta: '' vs 'o'
1371,principle,ca,principi,pt,princípio,0.824,delta: 'ipi' vs 'ípio'
1371,principle,ca,principi,ro,principiu,0.941,delta: '' vs 'u'
1371,principle,es,principio,fr,principe,0.824,delta: 'io' vs 'e'
1371,principle,es,principio,pt,princípio,0.889,delta: 'i' vs 'í'
1371,principle,es,principio,ro,principiu,0.889,delta: 'o' vs 'u'
1371,principle,fr,principe,gl,principio,0.824,delta: 'e' vs 'io'
1371,principle,fr,principe,it,principio,0.824,delta: 'e' vs 'io'
1371,principle,fr,principe,pt,princípio,0.706,delta: 'ipe' vs 'ípio'
1371,principle,fr,principe,ro,principiu,0.824,delta: 'e' vs 'iu'
1371,principle,gl,principio,pt,princípio,0.889,delta: 'i' vs 'í'
1371,principle,gl,principio,ro,principiu,0.889,delta: 'o' vs 'u'
1371,principle,it,principio,pt,princípio,0.889,delta: 'i' vs 'í'
1371,principle,it,principio,ro,principiu,0.889,delta: 'o' vs 'u'
1371,principle,pt,princípio,ro,principiu,0.778,delta: 'ípio' vs 'ipiu'
1372,promote,en,promote,ca,promoure,0.800,delta: 't' vs 'ur'
1372,promote,en,promote,es,promover,0.800,delta: 'te' vs 'ver'
1372,promote,en,promote,gl,promover,0.800,delta: 'te' vs 'ver'
1372,promote,en,promote,it,promuovere,0.706,delta: 'ot' vs 'uover'
1372,promote,en,promote,pt,promover,0.800,delta: 'te' vs 'ver'
1372,promote,en,promote,ro,promova,0.714,delta: 'te' vs 'va'
1372,promote,ca,promoure,es,promover,0.750,delta: 'ure' vs 'ver'
1372,promote,ca,promoure,fr,promouvoir,0.778,delta: 're' vs 'voir'
1372,promote,ca,promoure,gl,promover,0.750,delta: 'ure' vs 'ver'
1372,promote,ca,promoure,it,promuovere,0.778,delta: 'ou' vs 'uove'
1372,promote,ca,promoure,pt,promover,0.750,delta: 'ure' vs 'ver'
1372,promote,es,promover,fr,promouvoir,0.778,delta: 've' vs 'uvoi'
1372,promote,es,promover,it,promuovere,0.889,delta: 'over' vs 'uovere'
1372,promote,es,promover,ro,promova,0.800,delta: 'er' vs 'a'
1372,promote,fr,promouvoir,gl,promover,0.778,delta: 'uvoi' vs 've'
1372,promote,fr,promouvoir,pt,promover,0.778,delta: 'uvoi' vs 've'
1372,promote,fr,promouvoir,ro,promova,0.706,delta: 'uvoir' vs 'va'
1372,promote,gl,promover,it,promuovere,0.889,delta: 'over' vs 'uovere'
1372,promote,gl,promover,ro,promova,0.800,delta: 'er' vs 'a'
1372,promote,it,promuovere,pt,promover,0.889,delta: 'uovere' vs 'over'
1372,promote,it,promuovere,ro,promova,0.706,delta: 'uovere' vs 'ova'
1372,promote,pt,promover,ro,promova,0.800,delta: 'er' vs 'a'
1373,search,ca,cerca,it,ricerca,0.833,delta: '' vs 'ri'
1375,alive,es,viva,fr,vivant,0.800,delta: '' vs 'nt'
1375,alive,es,viva,gl,vivo,0.750,delta: 'a' vs 'o'
1375,alive,es,viva,it,vivo,0.750,delta: 'a' vs 'o'
1375,alive,es,viva,pt,vivo,0.750,delta: 'a' vs 'o'
1376,possibility,en,possibility,ca,possibilitat,0.870,delta: 'y' vs 'at'
1376,possibility,en,possibility,es,posibilidad,0.727,delta: 'sibility' vs 'ibilidad'
1376,possibility,en,possibility,fr,possibilité,0.909,delta: 'y' vs 'é'
1376,possibility,en,possibility,it,possibilità,0.909,delta: 'y' vs 'à'
1376,possibility,en,possibility,pt,possibilidade,0.750,delta: 'ty' vs 'dade'
1376,possibility,en,possibility,ro,posibilitate,0.783,delta: 'sibility' vs 'ibilitate'
1376,possibility,ca,possibilitat,es,posibilidad,0.783,delta: 'sibilitat' vs 'ibilidad'
1376,possibility,ca,possibilitat,fr,possibilité,0.870,delta: 'at' vs 'é'
1376,possibility,ca,possibilitat,gl,posibilidade,0.750,delta: 'sibilitat' vs 'ibilidade'
1376,possibility,ca,possibilitat,it,possibilità,0.870,delta: 'at' vs 'à'
1376,possibility,ca,possibilitat,pt,possibilidade,0.800,delta: 'tat' vs 'dade'
1376,possibility,ca,possibilitat,ro,posibilitate,0.917,delta: 'sibilitat' vs 'ibilitate'
1376,possibility,es,posibilidad,fr,possibilité,0.727,delta: 'ibilidad' vs 'sibilité'
1376,possibility,es,posibilidad,gl,posibilidade,0.957,delta: '' vs 'e'
1376,possibility,es,posibilidad,it,possibilità,0.727,delta: 'ibilidad' vs 'sibilità'
1376,possibility,es,posibilidad,pt,possibilidade,0.917,delta: 'ibilidad' vs 'sibilidade'
1376,possibility,es,posibilidad,ro,posibilitate,0.783,delta: 'dad' vs 'tate'
1376,possibility,fr,possibilité,it,possibilità,0.909,delta: 'é' vs 'à'
1376,possibility,fr,possibilité,pt,possibilidade,0.750,delta: 'té' vs 'dade'
1376,possibility,fr,possibilité,ro,posibilitate,0.783,delta: 'sibilité' vs 'ibilitate'
1376,possibility,gl,posibilidade,pt,possibilidade,0.960,delta: '' vs 's'
1376,possibility,gl,posibilidade,ro,posibilitate,0.833,delta: 'dad' vs 'tat'
1376,possibility,it,possibilità,pt,possibilidade,0.750,delta: 'tà' vs 'dade'
1376,possibility,it,possibilità,ro,posibilitate,0.783,delta: 'sibilità' vs 'ibilitate'
1376,possibility,pt,possibilidade,ro,posibilitate,0.800,delta: 'sibilidad' vs 'ibilitat'
1377,sky,es,cielo,fr,ciel,0.889,delta: 'o' vs ''
1377,sky,fr,ciel,it,cielo,0.889,delta: '' vs 'o'
1378,otherwise,es,de lo contrario,gl,en caso contrario,0.812,delta: 'de l' vs 'en cas'
1378,otherwise,fr,autrement,it,altrimenti,0.737,delta: 'utrement' vs 'ltrimenti'
1378,otherwise,gl,en caso contrario,ro,in caz contrar,0.774,delta: 'en caso contrario' vs 'in caz contrar'
1379,remind,en,remind,ro,reaminti,0.714,delta: 'mind' vs 'aminti'
1379,remind,ca,recordar,it,ricordare,0.824,delta: 'ecordar' vs 'icordare'
1379,remind,es,recordar,it,ricordare,0.824,delta: 'ecordar' vs 'icordare'
1380,healthy,ca,saludable,gl,saudable,0.941,delta: 'l' vs ''
1380,healthy,es,sano,fr,sain,0.750,delta: 'no' vs 'in'
1380,healthy,fr,sain,it,sano,0.750,delta: 'in' vs 'no'
1381,fit,ca,encaixar,es,encajar,0.800,delta: 'ix' vs 'j'
1381,fit,es,encajar,gl,encaixar,0.800,delta: 'j' vs 'ix'
1381,fit,fr,en forme,it,in forma,0.750,delta: 'en forme' vs 'in forma'
1381,fit,fr,en forme,pt,em forma,0.750,delta: 'n forme' vs 'm forma'
1381,fit,it,in forma,pt,em forma,0.750,delta: 'in' vs 'em'
1382,horse,ca,cavall,es,caballo,0.769,delta: 'vall' vs 'ballo'
1382,horse,ca,cavall,it,cavallo,0.923,delta: '' vs 'o'
1382,horse,ca,cavall,pt,cavalo,0.833,delta: 'l' vs 'o'
1382,horse,es,caballo,gl,cabalo,0.923,delta: 'l' vs ''
1382,horse,es,caballo,it,cavallo,0.857,delta: 'b' vs 'v'
1382,horse,es,caballo,pt,cavalo,0.769,delta: 'bal' vs 'va'
1382,horse,gl,cabalo,it,cavallo,0.769,delta: 'ba' vs 'val'
1382,horse,gl,cabalo,pt,cavalo,0.833,delta: 'b' vs 'v'
1382,horse,it,cavallo,pt,cavalo,0.923,delta: 'l' vs ''
1383,advantage,en,advantage,ca,avantatge,0.889,delta: 'dvanta' vs 'vantat'
1383,advantage,en,advantage,fr,avantage,0.941,delta: 'd' vs ''
1383,advantage,en,advantage,gl,vantaxe,0.750,delta: 'advantag' vs 'vantax'
1383,advantage,en,advantage,pt,vantagem,0.824,delta: 'advantage' vs 'vantagem'
1383,advantage,en,advantage,ro,avantaj,0.750,delta: 'dvantage' vs 'vantaj'
1383,advantage,ca,avantatge,fr,avantage,0.941,delta: 't' vs ''
1383,advantage,ca,avantatge,gl,vantaxe,0.750,delta: 'avantatg' vs 'vantax'
1383,advantage,ca,avantatge,pt,vantagem,0.824,delta: 'avantatge' vs 'vantagem'
1383,advantage,ca,avantatge,ro,avantaj,0.750,delta: 'tge' vs 'j'
1383,advantage,es,ventaja,ro,avantaj,0.714,delta: 'ventaja' vs 'avantaj'
1383,advantage,fr,avantage,gl,vantaxe,0.800,delta: 'avantag' vs 'vantax'
1383,advantage,fr,avantage,it,vantaggio,0.706,delta: 'avantage' vs 'vantaggio'
1383,advantage,fr,avantage,pt,vantagem,0.875,delta: 'avantage' vs 'vantagem'
1383,advantage,fr,avantage,ro,avantaj,0.800,delta: 'ge' vs 'j'
1383,advantage,gl,vantaxe,pt,vantagem,0.800,delta: 'xe' vs 'gem'
1383,advantage,gl,vantaxe,ro,avantaj,0.714,delta: 'vantaxe' vs 'avantaj'
1383,advantage,it,vantaggio,pt,vantagem,0.706,delta: 'gio' vs 'em'
1384,commercial,en,commercial,ca,comercial,0.947,delta: 'm' vs ''
1384,commercial,en,commercial,es,comercial,0.947,delta: 'm' vs ''
1384,commercial,en,commercial,gl,comercial,0.947,delta: 'm' vs ''
1384,commercial,en,commercial,it,commerciale,0.952,delta: '' vs 'e'
1384,commercial,en,commercial,pt,comercial,0.947,delta: 'm' vs ''
1384,commercial,en,commercial,ro,comercial,0.947,delta: 'm' vs ''
1384,commercial,ca,comercial,fr,commercial,0.947,delta: '' vs 'm'
1384,commercial,ca,comercial,it,commerciale,0.900,delta: 'ercial' vs 'merciale'
1384,commercial,es,comercial,fr,commercial,0.947,delta: '' vs 'm'
1384,commercial,es,comercial,it,commerciale,0.900,delta: 'ercial' vs 'merciale'
1384,commercial,fr,commercial,gl,comercial,0.947,delta: 'm' vs ''
1384,commercial,fr,commercial,it,commerciale,0.952,delta: '' vs 'e'
1384,commercial,fr,commercial,pt,comercial,0.947,delta: 'm' vs ''
1384,commercial,fr,commercial,ro,comercial,0.947,delta: 'm' vs ''
1384,commercial,gl,comercial,it,commerciale,0.900,delta: 'ercial' vs 'merciale'
1384,commercial,it,commerciale,pt,comercial,0.900,delta: 'merciale' vs 'ercial'
1384,commercial,it,commerciale,ro,comercial,0.900,delta: 'merciale' vs 'ercial'
1385,steal,ca,robar,gl,roubar,0.909,delta: '' vs 'u'
1385,steal,ca,robar,it,rubare,0.727,delta: 'obar' vs 'ubare'
1385,steal,ca,robar,pt,roubar,0.909,delta: '' vs 'u'
1385,steal,es,robar,gl,roubar,0.909,delta: '' vs 'u'
1385,steal,es,robar,it,rubare,0.727,delta: 'obar' vs 'ubare'
1385,steal,es,robar,pt,roubar,0.909,delta: '' vs 'u'
1385,steal,gl,roubar,it,rubare,0.833,delta: 'oubar' vs 'ubare'
1385,steal,it,rubare,pt,roubar,0.833,delta: 'ubare' vs 'oubar'
1387,context,en,context,es,contexto,0.933,delta: '' vs 'o'
1387,context,en,context,fr,le contexte,0.778,delta: 'context' vs 'le contexte'
1387,context,en,context,gl,contexto,0.933,delta: '' vs 'o'
1387,context,en,context,it,contesto,0.800,delta: 'xt' vs 'sto'
1387,context,en,context,pt,contexto,0.933,delta: '' vs 'o'
1387,context,ca,context,es,contexto,0.933,delta: '' vs 'o'
1387,context,ca,context,fr,le contexte,0.778,delta: 'context' vs 'le contexte'
1387,context,ca,context,gl,contexto,0.933,delta: '' vs 'o'
1387,context,ca,context,it,contesto,0.800,delta: 'xt' vs 'sto'
1387,context,ca,context,pt,contexto,0.933,delta: '' vs 'o'
1387,context,es,contexto,fr,le contexte,0.737,delta: 'contexto' vs 'le contexte'
1387,context,es,contexto,it,contesto,0.875,delta: 'x' vs 's'
1387,context,es,contexto,ro,context,0.933,delta: 'o' vs ''
1387,context,fr,le contexte,gl,contexto,0.737,delta: 'le contexte' vs 'contexto'
1387,context,fr,le contexte,pt,contexto,0.737,delta: 'le contexte' vs 'contexto'
1387,context,fr,le contexte,ro,context,0.778,delta: 'le contexte' vs 'context'
1387,context,gl,contexto,it,contesto,0.875,delta: 'x' vs 's'
1387,context,gl,contexto,ro,context,0.933,delta: 'o' vs ''
1387,context,it,contesto,pt,contexto,0.875,delta: 's' vs 'x'
1387,context,it,contesto,ro,context,0.800,delta: 'sto' vs 'xt'
1387,context,pt,contexto,ro,context,0.933,delta: 'o' vs ''
1389,christmas,ca,Nadal,it,Natale,0.727,delta: 'dal' vs 'tale'
1389,christmas,ca,Nadal,pt,Natal,0.800,delta: 'd' vs 't'
1389,christmas,gl,Nadal,it,Natale,0.727,delta: 'dal' vs 'tale'
1389,christmas,gl,Nadal,pt,Natal,0.800,delta: 'd' vs 't'
1389,christmas,it,Natale,pt,Natal,0.909,delta: 'e' vs ''
1390,strength,ca,força,gl,forza,0.800,delta: 'ç' vs 'z'
1390,strength,ca,força,it,forza,0.800,delta: 'ç' vs 'z'
1390,strength,es,fuerza,gl,forza,0.727,delta: 'ue' vs 'o'
1390,strength,es,fuerza,it,forza,0.727,delta: 'ue' vs 'o'
1390,strength,gl,forza,pt,força,0.800,delta: 'z' vs 'ç'
1390,strength,it,forza,pt,força,0.800,delta: 'z' vs 'ç'
1391,move,en,move,gl,mover,0.889,delta: '' vs 'r'
1392,monday,ca,dilluns,gl,luns,0.727,delta: 'dil' vs ''
1392,monday,es,lunes,gl,luns,0.889,delta: 'e' vs ''
1392,monday,fr,Lundi,it,Lunedi,0.909,delta: '' vs 'e'
1392,monday,gl,luns,ro,luni,0.750,delta: 's' vs 'i'
1393,mean,ca,significar,it,significare,0.952,delta: '' vs 'e'
1393,mean,es,significar,it,significare,0.952,delta: '' vs 'e'
1393,mean,gl,significar,it,significare,0.952,delta: '' vs 'e'
1393,mean,it,significare,pt,significar,0.952,delta: 'e' vs ''
1394,alone,es,solo,it,da solo,0.727,delta: '' vs 'da '
1395,beach,ca,platja,es,playa,0.727,delta: 'tj' vs 'y'
1395,beach,ca,platja,ro,plajă,0.727,delta: 'tja' vs 'jă'
1395,beach,gl,praia,pt,de praia,0.769,delta: '' vs 'de '
1396,survey,ca,enquesta,es,encuesta,0.875,delta: 'q' vs 'c'
1396,survey,fr,sondage,it,sondaggio,0.750,delta: 'e' vs 'gio'
1397,writing,ca,escriptura,gl,escrita,0.824,delta: 'ptur' vs 't'
1397,writing,es,escribiendo,pt,escrevendo,0.762,delta: 'ibi' vs 'ev'
1398,master,en,master,it,maestro,0.769,delta: 'ster' vs 'estro'
1398,master,en,master,ro,maestru,0.769,delta: 'ster' vs 'estru'
1398,master,ca,mestre,it,maestro,0.769,delta: 'estre' vs 'aestro'
1398,master,ca,mestre,ro,maestru,0.769,delta: 'estre' vs 'aestru'
1398,master,es,Maestro,it,maestro,0.857,delta: 'M' vs 'm'
1398,master,es,Maestro,ro,maestru,0.714,delta: 'Maestro' vs 'maestru'
1398,master,gl,mestre,it,maestro,0.769,delta: 'estre' vs 'aestro'
1398,master,gl,mestre,ro,maestru,0.769,delta: 'estre' vs 'aestru'
1398,master,it,maestro,pt,mestre,0.769,delta: 'aestro' vs 'estre'
1398,master,it,maestro,ro,maestru,0.857,delta: 'o' vs 'u'
1398,master,pt,mestre,ro,maestru,0.769,delta: 'estre' vs 'aestru'
1399,cry,ca,plorar,es,llorar,0.833,delta: 'p' vs 'l'
1399,cry,gl,chorar,pt,choro,0.727,delta: 'ar' vs 'o'
1400,scale,en,scale,ca,escala,0.727,delta: 'scale' vs 'escala'
1400,scale,en,scale,es,escala,0.727,delta: 'scale' vs 'escala'
1400,scale,en,scale,gl,escala,0.727,delta: 'scale' vs 'escala'
1400,scale,en,scale,it,scala,0.800,delta: 'e' vs 'a'
1400,scale,ca,escala,it,scala,0.909,delta: 'e' vs ''
1400,scale,es,escala,it,scala,0.909,delta: 'e' vs ''
1400,scale,gl,escala,it,scala,0.909,delta: 'e' vs ''
1401,resident,en,resident,es,residente,0.941,delta: '' vs 'e'
1401,resident,en,resident,fr,résident,0.875,delta: 'e' vs 'é'
1401,resident,en,resident,gl,residente,0.941,delta: '' vs 'e'
1401,resident,en,resident,it,residente,0.941,delta: '' vs 'e'
1401,resident,en,resident,pt,residente,0.941,delta: '' vs 'e'
1401,resident,en,resident,ro,rezident,0.875,delta: 's' vs 'z'
1401,resident,ca,resident,es,residente,0.941,delta: '' vs 'e'
1401,resident,ca,resident,fr,résident,0.875,delta: 'e' vs 'é'
1401,resident,ca,resident,gl,residente,0.941,delta: '' vs 'e'
1401,resident,ca,resident,it,residente,0.941,delta: '' vs 'e'
1401,resident,ca,resident,pt,residente,0.941,delta: '' vs 'e'
1401,resident,ca,resident,ro,rezident,0.875,delta: 's' vs 'z'
1401,resident,es,residente,fr,résident,0.824,delta: 'esidente' vs 'ésident'
1401,resident,es,residente,ro,rezident,0.824,delta: 'sidente' vs 'zident'
1401,resident,fr,résident,gl,residente,0.824,delta: 'ésident' vs 'esidente'
1401,resident,fr,résident,it,residente,0.824,delta: 'ésident' vs 'esidente'
1401,resident,fr,résident,pt,residente,0.824,delta: 'ésident' vs 'esidente'
1401,resident,fr,résident,ro,rezident,0.750,delta: 'és' vs 'ez'
1401,resident,gl,residente,ro,rezident,0.824,delta: 'sidente' vs 'zident'
1401,resident,it,residente,ro,rezident,0.824,delta: 'sidente' vs 'zident'
1401,resident,pt,residente,ro,rezident,0.824,delta: 'sidente' vs 'zident'
1402,football,en,football,fr,Football,0.875,delta: 'f' vs 'F'
1402,football,en,football,ro,fotbal,0.857,delta: 'otbal' vs 'tba'
1402,football,ca,futbol,gl,fútbol,0.833,delta: 'u' vs 'ú'
1402,football,es,fútbol americano,pt,futebol americano,0.909,delta: 'út' vs 'ute'
1402,football,fr,Football,ro,fotbal,0.714,delta: 'Footbal' vs 'fotba'
1403,sweet,es,dulce,it,dolce,0.800,delta: 'u' vs 'o'
1403,sweet,gl,doce,it,dolce,0.889,delta: '' vs 'l'
1403,sweet,it,dolce,pt,doce,0.889,delta: 'l' vs ''
1403,sweet,it,dolce,ro,dulce,0.800,delta: 'o' vs 'u'
1404,failure,ca,fracàs,gl,fracaso,0.769,delta: 'às' vs 'aso'
1404,failure,ca,fracàs,pt,fracasso,0.714,delta: 'às' vs 'asso'
1404,failure,gl,fracaso,pt,fracasso,0.933,delta: '' vs 's'
1405,reporter,en,reporter,es,reportero,0.941,delta: '' vs 'o'
1405,reporter,en,reporter,gl,reporteiro,0.889,delta: 'r' vs 'iro'
1405,reporter,en,reporter,pt,repórter,0.875,delta: 'o' vs 'ó'
1405,reporter,es,reportero,gl,reporteiro,0.947,delta: '' vs 'i'
1405,reporter,es,reportero,it,reporter,0.941,delta: 'o' vs ''
1405,reporter,es,reportero,pt,repórter,0.824,delta: 'ortero' vs 'órter'
1405,reporter,es,reportero,ro,reporter,0.941,delta: 'o' vs ''
1405,reporter,gl,reporteiro,it,reporter,0.889,delta: 'iro' vs 'r'
1405,reporter,gl,reporteiro,pt,repórter,0.778,delta: 'orteiro' vs 'órter'
1405,reporter,gl,reporteiro,ro,reporter,0.889,delta: 'iro' vs 'r'
1405,reporter,it,reporter,pt,repórter,0.875,delta: 'o' vs 'ó'
1405,reporter,pt,repórter,ro,reporter,0.875,delta: 'ó' vs 'o'
1406,commit,en,commit,ro,comite,0.833,delta: 'mit' vs 'ite'
1406,commit,ca,comprometre's,gl,comprometerse,0.846,delta: 're's' vs 'erse'
1406,commit,ca,comprometre's,pt,comprometer-se,0.815,delta: 're's' vs 'er-se'
1406,commit,es,cometer,it,commettere,0.824,delta: 'eter' vs 'mettere'
1406,commit,es,cometer,ro,comite,0.769,delta: 'eter' vs 'ite'
1406,commit,gl,comprometerse,it,commettere,0.783,delta: 'prometers' vs 'metter'
1406,commit,gl,comprometerse,pt,comprometer-se,0.963,delta: '' vs '-'
1406,commit,it,commettere,pt,comprometer-se,0.750,delta: 'metter' vs 'prometer-s'
1407,fight,ca,lluitar,gl,loitar,0.769,delta: 'lu' vs 'o'
1407,fight,ca,lluitar,pt,lutar,0.833,delta: 'lui' vs 'u'
1407,fight,gl,loitar,pt,lutar,0.727,delta: 'oi' vs 'u'
1409,associate,en,associate,ca,associat,0.941,delta: 'e' vs ''
1409,associate,en,associate,es,asociar,0.750,delta: 'sociate' vs 'ociar'
1409,associate,en,associate,fr,associer,0.824,delta: 'ate' vs 'er'
1409,associate,en,associate,gl,asociado,0.706,delta: 'sociate' vs 'ociado'
1409,associate,en,associate,pt,associado,0.778,delta: 'te' vs 'do'
1409,associate,en,associate,ro,asociat,0.875,delta: 'sociate' vs 'ociat'
1409,associate,ca,associat,es,asociar,0.800,delta: 'sociat' vs 'ociar'
1409,associate,ca,associat,fr,associer,0.750,delta: 'at' vs 'er'
1409,associate,ca,associat,gl,asociado,0.750,delta: 'sociat' vs 'ociado'
1409,associate,ca,associat,pt,associado,0.824,delta: 't' vs 'do'
1409,associate,ca,associat,ro,asociat,0.933,delta: 's' vs ''
1409,associate,es,asociar,fr,associer,0.800,delta: 'ocia' vs 'socie'
1409,associate,es,asociar,gl,asociado,0.800,delta: 'r' vs 'do'
1409,associate,es,asociar,pt,associado,0.750,delta: 'ociar' vs 'sociado'
1409,associate,es,asociar,ro,asociat,0.857,delta: 'r' vs 't'
1409,associate,fr,associer,pt,associado,0.706,delta: 'er' vs 'ado'
1409,associate,gl,asociado,it,socio,0.769,delta: 'asociad' vs 'soci'
1409,associate,gl,asociado,pt,associado,0.941,delta: '' vs 's'
1409,associate,gl,asociado,ro,asociat,0.800,delta: 'do' vs 't'
1409,associate,it,socio,pt,associado,0.714,delta: 'soci' vs 'associad'
1409,associate,pt,associado,ro,asociat,0.750,delta: 'sociado' vs 'ociat'
1410,vision,en,vision,ca,visió,0.727,delta: 'on' vs 'ó'
1410,vision,en,vision,es,visión,0.833,delta: 'o' vs 'ó'
1410,vision,en,vision,gl,visión,0.833,delta: 'o' vs 'ó'
1410,vision,en,vision,it,visione,0.923,delta: '' vs 'e'
1410,vision,en,vision,pt,visão,0.727,delta: 'ion' vs 'ão'
1410,vision,ca,visió,es,visión,0.909,delta: '' vs 'n'
1410,vision,ca,visió,fr,vision,0.727,delta: 'ó' vs 'on'
1410,vision,ca,visió,gl,visión,0.909,delta: '' vs 'n'
1410,vision,es,visión,fr,vision,0.833,delta: 'ó' vs 'o'
1410,vision,es,visión,it,visione,0.769,delta: 'ón' vs 'one'
1410,vision,fr,vision,gl,visión,0.833,delta: 'o' vs 'ó'
1410,vision,fr,vision,it,visione,0.923,delta: '' vs 'e'
1410,vision,fr,vision,pt,visão,0.727,delta: 'ion' vs 'ão'
1410,vision,gl,visión,it,visione,0.769,delta: 'ón' vs 'one'
1410,vision,it,visione,ro,viziune,0.714,delta: 'sio' vs 'ziu'
1411,function,en,function,ca,funció,0.714,delta: 'tion' vs 'ió'
1411,function,en,function,es,función,0.800,delta: 'tio' vs 'ió'
1411,function,en,function,gl,función,0.800,delta: 'tio' vs 'ió'
1411,function,en,function,it,funzione,0.750,delta: 'ction' vs 'zione'
1411,function,ca,funció,es,función,0.923,delta: '' vs 'n'
1411,function,ca,funció,gl,función,0.923,delta: '' vs 'n'
1411,function,ca,funció,ro,funcţie,0.769,delta: 'ió' vs 'ţie'
1411,function,es,función,ro,funcţie,0.714,delta: 'ión' vs 'ţie'
1411,function,gl,función,ro,funcţie,0.714,delta: 'ión' vs 'ţie'
1412,truly,ca,veritablement,it,veramente,0.727,delta: 'itablement' vs 'amente'
1412,truly,es,verdaderamente,it,veramente,0.783,delta: 'dader' vs ''
